no,branch_name_th,branch_name_en,floor,mall_th,mall_en,sub_category_th,sub_category_en,status,,,,,,,,,,,,,,,,,
231,???? ????????? ?????,AI CHA The Mall Korat,G,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
234,???? ?????????????????? ???????,PONN The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
240,???????? ?? ????????? ?????,AFTER YOU The Mall Korat,1,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
243,???????? ?????????????????? ??????????,GAVINSON The Mall Lifestore Ngamwongwan,G,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
244,????????? ?????????????????? ?????,MEE KHWAM SOOK The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
247,???? ??????? ?????????????????? ???????,MCDONALD'S The Mall Lifestore Bangkapi,G,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
249,?????? ???? ?????????????????? ?????,FABIO PLUS The Mall Lifestore Bangkae,3,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
260,??????? ?????????????????? ??????????,KFC The Mall Lifestore Ngamwongwan,G,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
263,101 ?????? ?????????????????? ??????,COFFEE 101 The Mall Lifestore Thapra,1,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
280,??? ?? ?????????????????? ??????????,NOSE TEA The Mall Lifestore Ngamwongwan,3,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
288,????????? ?????????????????? ??????,YOGURUTO The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
289,??????? ???? ????? ?? ?????????????????? ??????????,OLINO CREPE & TEA The Mall Lifestore Ngamwongwan,G,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
291,????????? ?????????????????? ??????????,YOGURUTO The Mall Lifestore Ngamwongwan,6,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
294,???????? ?????????????????? ??????,OHKAJHU The Mall Lifestore Thapra,G,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
295,??????? ?????????????????? ??????,PUNG SIAM The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
296,?????? ???? ?????????????????? ??????????,KATEI SHABU The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
298,???????? ????????? ?????????????????? ???????,GUGU CHICKEN The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
313,?????? ??????? ?????????  ?????????????????? ??????????,JAEDANG SAMYAN The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
315,????????? ?????????????????? ??????,JONES SALAD The Mall Lifestore Thapra,B,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
317,???? ??????? ?????????????????? ??????,ZAAP CLASSIC The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
340,???? ??????? ?????????????????? ?????,ZAAP CLASSIC The Mall Lifestore Bangkae,3,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
341,??? ?? ??? ?????????????????? ?????,KEN PHU PANG The Mall Lifestore Bangkae,G,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
342,??????? ?????????????????? ???????,LI YANG The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
363,?????? ?????????????????? ??????,MINKKI The Mall Lifestore Thapra,G,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
373,????? ?????? ?????????????????? ???????,CAFE AMAZON The Mall Lifestore Bangkapi,G,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
383,????? ???? ?????????????????? ??????,NAMBA SHABU The Mall Lifestore Thapra,1,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
399,?????? ???????? ???????  ?????????????????? ??????,RABBIT BUBBLE MILK TEA The Mall Lifestore Thapra,1,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
416,?????? ???????? ???????  ?????????????????? ?????,RABBIT BUBBLE MILK TEA The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
432,???????? ?????????????????? ???????,SAMOONTOON The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
450,?????????????????? ?????????????????? ?????,SAOREE NOODLE The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
451,??????????? ?????????????????? ??????,SIZZLER The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
452,????? ???????? ?? ?????????????????? ?????,STAR ELEPHANT TEA The Mall Lifestore Bangkae,1,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
454,????????? ?????????????????? ??????,TIEWCHUNN The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
471,?????? ?????????????????? ??????,OOTOYA The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
488,?????? ???????? ?????????????????? ??????,OISHI BIZTORO The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
489,?????? ????? ?????????????????? ???????,OISHI RAMEN The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
490,?????? ?????????????????? ???????,SHABUSHI The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
493,?????? ????????? ?????,SHABUSHI The Mall Korat,3,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
495,??????? ???? ????? ?? ?????????????????? ?????,OLINO CREPE & TEA The Mall Lifestore Bangkae,G,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
497,?????? ???????? ?????????????????? ???????,OISHI BUFFET The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
538,?????? ???? ?????????????????? ???????,KATEI SHABU The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
549,??????? ?????????????????? ?????,PURADAK The Mall Lifestore Bangkae,G,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
559,????????????? ???????,BURGER KING Paragon,G,???????,Paragon,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
560,????????????? ?????????????,BURGER KING Emquartier,G,?????????????,Emquartier,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
561,????????????? ????????? ????????? ????????,BURGER KING The Mall Skyport Donmueang Airport,1,????????? ????????? ????????,The Mall Skyport Donmueang Airport,Dining,Dining,active,,,,,,,,,,,,,,,,,
567,????? ?????? ????????? ?????,CAFE AMAZON The Mall Korat,1,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
568,?????? ?????????????????? ?????,AMOR The Mall Lifestore Bangkae,M,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
569,?????? ?????????????????? ???????,TANING The Mall Lifestore Bangkapi,1,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
577,??????? ????????? ?????,DUNKIN The Mall Korat,1,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
578,???? ?????????? 21,DOU Terminal21,,?????????? 21,Terminal21,Dining,Dining,active,,,,,,,,,,,,,,,,,
591,???????????????????????? ?????????????????? ???????,FUJI RESTAURANT The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
592,???? ????????? ?????,AKA The Mall Korat,2,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
594,?????? ?????????????????? ???????,WOO GOGI The Mall Lifestore Bangkapi,G,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
595,?????? ?????????????????? ?????,YAYOI JAPANESE RESTAURANT The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
605,????? ????????? ?????????????????? ???????,COCO ICHIBANYA The Mall Lifestore Bangkapi,,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
612,?????????????? ?????????????????? ??????????,BAN KUAI TIAO The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
613,??? ???? ??????? ?????????????????? ???????,ON THE TABLE The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
618,????? ?????????????????? ?????,GAGA The Mall Lifestore Bangkae,M,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
625,?????? ?????????????????? ??????,YAYOI JAPANESE RESTAURANT The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
632,?????????? ?????????????????? ??????????,SWENSEN'S The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
642,????????? ?????????????????? ??????????,True Coffee The Mall Lifestore Ngamwongwan,6,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
647,?????? ?????? ?????????????????? ?????,FUNKY FRIES The Mall Lifestore Bangkae,3,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
654,???? ??? ??? ?????????????????? ??????????,XING FU TANG The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
663,??????? ???? ????????? ?????,CRISPY CREPES The Mall Korat,3,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
668,???????????????????????? ?????????????????? ?????,FUJI RESTAURANT The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
670,??????? ?????????????????? ???????,KOI THE The Mall Lifestore Bangkapi,G,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
681,????? ?????????????,D'ARK Emquartier,G,?????????????,Emquartier,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
683,?????? ??? ????????? ?????,PIZZA HUT The Mall Korat,1,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
688,???????? ???? ?????????????????? ???????,YAKINIKU LIKE The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
689,??????? ????? ?????????????????? ???????,HACHIBAN RAMEN The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
693,??????????? ?????????????????? ?????,MAE SRI RUEN The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
695,??????? ?????????????????? ??????????,RAMENGA The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
699,????? ?????????? ?????????????????? ??????????,MONGKOK SUKIYAKI The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
703,?????????? ?????? ?????????????????? ?????,STARBUCKS The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
718,????????? ?????????????????? ??????,TUM MAI YUD The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
732,??? ????? ???????? ?????????????????? ?????,RED PANDA YAKINIKU The Mall Lifestore Bangkae,3,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
750,????? ?????????????????? ??????????,YODCHA The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
755,????? ????????? ?????????????????? ??????????,COCO ICHIBANYA The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
759,????????? ????????? ?????,DAIRY QUEEN The Mall Korat,1,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
763,????? ?????????????????? ?????,YODCHA The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
773,???????????????????? ?????????????????? ??????????,ZEN RESTAURANT The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
795,???? ?????? ??????? ?????????????????? ??????,THE PIZZA COMPANY The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
799,????????? ?????????????????? ?????,True Coffee The Mall Lifestore Bangkae,1,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
800,??????? ?????????????????? ??????,KOI THE The Mall Lifestore Thapra,G,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
806,???? ????? ?????????????????? ??????????,FUKU MUTCHA The Mall Lifestore Ngamwongwan,6,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
810,???? ????? ????????? ?????,CLASS CAFE The Mall Korat,1,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
817,??????????? ?????????????????? ?????,TOROFRIES The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
820,????????? ?????? ????????? ?????,BAR B Q PLAZA The Mall Korat,2,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
821,?????? ????????????? ?????????????????? ???????,MK RESTAURANTS The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
824,?????? ?????????????????? ???????,YAYOI JAPANESE RESTAURANT The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
843,????????? ?????????????????? ??????????,YOU & I The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
848,????? ?????? ?????????????????? ???????,CAFE AMAZON The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
849,?????? ???? ????? ???????? ???????? ??????? ?????????????????? ?????,TENJO SUSHI & YAKINIKU PREMIUM BUFFET The Mall Lifestore Bangkae,3,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
850,???? ????? ?????????????????? ???????,FUKU MUTCHA The Mall Lifestore Bangkapi,,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
856,?????????? ?????? ?????????????????? ???????,STARBUCKS The Mall Lifestore Bangkapi,G,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
858,??????????? ?????????????????? ?????,SIZZLER The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
876,??????? ????????? ?????,DUNKIN The Mall Korat,2,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
878,????????? ?????????????????? ?????,YOU & I The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
880,???? ???? ?????????????????? ???????,SUSHI SEKI The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
885,?????? ?????????????????? ??????????,SUKIYA The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
888,?????? ????? ????????? ?????,OISHI RAMEN The Mall Korat,3,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
889,???????? ?????????????????? ???????,LA MEOW The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
894,???? ???? ???????,SUSHI SEKI Paragon,5,???????,Paragon,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
903,??????? ?????????????????? ??????????,KFC The Mall Lifestore Ngamwongwan,6,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
908,?????? ?????????????????? ??????,KOFUKU The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
912,???? ???????? ?????????????????? ???????,MOMO PARADISE The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
919,???? ?????????????????? ?????,DOU The Mall Lifestore Bangkae,G,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
920,???????? ?????????????????? ???????,CHESTER'S The Mall Lifestore Bangkapi,G,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
936,???? ?? ?????????????????? ??????????,KAMU TEA The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
939,????? ?????????????????? ???????,YODCHA The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
948,????? ?????? ?????????????????? ?????,CAFE AMAZON The Mall Lifestore Bangkae,M,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
951,???????? ????? ????????? ?????,MISTER DONUT The Mall Korat,1,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
952,?????????? ????????? ?????,BEARHOUSE The Mall Korat,15,????????? ?????,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
965,????????? ?????????????????? ???????,DAIRY QUEEN The Mall Lifestore Bangkapi,M,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
970,??????? ?????????? ?????????????????? ?????,SAEMAEUL EXPRESS The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
981,???????? ????????? ?????????????????? ??????,GUGU CHICKEN The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
984,??????? ?????????????????? ???????,SUSHIRO The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
986,?????? ?????????????????? ?????,BONCHON The Mall Lifestore Bangkae,G,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
990,?????????? ?????????????????? ?????,SWENSEN'S The Mall Lifestore Bangkae,G,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
996,?? ?????? ?????????????????? ??????,THE ALLEY The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
999,??????? ?????????????????? ??????,SUSHIRO The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
1003,?????????? ?????????????????? ??????????,BEARHOUSE The Mall Lifestore Ngamwongwan,G,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1007,?????? ???? ????? ???????? ???????? ??????? ?????????????????? ??????????,TENJO SUSHI & YAKINIKU PREMIUM BUFFET The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
1008,??????? ????? ?????????????????? ?????,HACHIBAN RAMEN The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
1009,?????????? ?????????????????? ???????,SWENSEN'S The Mall Lifestore Bangkapi,G,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
1015,????????? ?????? ???????? ?????????????????? ???????,PACAMARA COFFEE ROASTERS The Mall Lifestore Bangkapi,G,?????????????????? ???????,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
