no,branch_name_th,branch_name_en,floor,mall_th,mall_en,sub_category_th,sub_category_en,status,,,,,,,,,,,,,,,,,
534,???????????? ?????????????????? ??????,First Choice The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
537,???????????? ?????????????????? ?????,First Choice The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
543,???????????? ?????????????????? ???????,First Choice The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
545,????????????????? ?????????????????? ??????????,Bualuang Securities The Mall Lifestore Ngamwongwan,8,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
546,????????????????? ?????????????????? ???????,Bualuang Securities The Mall Lifestore Bangkapi,8,?????????????????? ???????,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
580,?????????????????? ?????????????????? ??????,Syn Mun Kong Insurance The Mall Lifestore Thapra,2,?????????????????? ??????,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
607,??????????????????? ?????????????????? ?????,Bank Of Ayudhya (BAY) The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
622,???????????????? ?????????????????? ??????,Bangkok Insurance The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
629,?????????? ?????????????????? ??????????,Ngern Tid Lor The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
645,?????? ?????????? ??? ?????????????????? ?????,CIMB Thai The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
