no,branch_name_th,branch_name_en,floor,mall_th,mall_en,sub_category_th,sub_category_en,status,,,,,,,,,,,,,,,,,
530,เมืองไทยประกันชีวิต เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,Muang Thai Life Assurance The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
534,เฟิร์สช้อยส์ เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,First Choice The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
537,เฟิร์สช้อยส์ เดอะมอลล์ไลฟ์สโตร์ บางแค,First Choice The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
543,เฟิร์สช้อยส์ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,First Choice The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
545,หลักทรัพย์บัวหลวง เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,Bualuang Securities The Mall Lifestore Ngamwongwan,8,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
546,หลักทรัพย์บัวหลวง เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,Bualuang Securities The Mall Lifestore Bangkapi,8,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
580,สินมั่นคงประกันภัย เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,Syn Mun Kong Insurance The Mall Lifestore Thapra,2,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
607,ธนาคารกรุงศรีอยุธยา เดอะมอลล์ไลฟ์สโตร์ บางแค,Bank Of Ayudhya (BAY) The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
622,กรุงเทพประกันภัย เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,Bangkok Insurance The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
629,เงินติดล้อ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,Ngern Tid Lor The Mall Lifestore Ngamwongwan,5,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
645,ธนาคาร ซีไอเอ็มบี ไทย เดอะมอลล์ไลฟ์สโตร์ บางแค,CIMB Thai The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
649,ธนาคารกสิกรไทย เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,Kasikorn Bank (KBank) The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
660,ธนาคารแลนด์ แอนด์ เฮ้าส์ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,LAND AND HOUSES BANK (LH) The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
706,ธนาคารไทยเครดิต เพื่อรายย่อย เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Thai Credit Retail Bank (TCR) The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
717,ธนาคารกรุงเทพ จำกัด เดอะมอลล์ไลฟ์สโตร์ บางแค,Bangkok Bank (BBL) The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
720,ธนาคารกสิกรไทย เดอะมอลล์ไลฟ์สโตร์ บางแค,Kasikorn Bank (KBank) The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
723,กรุงเทพประกันภัย เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,Bangkok Insurance The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
730,ธนาคารไทยพาณิชย์ เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,Siam Commercial Bank (SCB) The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
756,ธนาคารกรุงเทพ จำกัด เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,Bangkok Bank (BBL) The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
778,ธนาคารเกียรตินาคินภัทร เดอะมอลล์ไลฟ์สโตร์ บางแค,Kiatnakin Phatra Bank (KKP) The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
786,ธนาคารยูโอบี เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,UOB The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
793,ธนาคารทหารไทยธนชาต เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,TMB Thanachart Bank (TTB) The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
822,ธนาคารทิสโก้ เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,Tisco The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
839,ธนาคารออมสิน เดอะมอลล์ไลฟ์สโตร์ บางแค,Government Savings Bank (GSB) The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
853,ธนาคารทหารไทยธนชาต เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,TMB Thanachart Bank (TTB) The Mall Lifestore Ngamwongwan,5,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
874,ไทยประกันชีวิต เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,THAI LIFE INSURANCE The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
934,เอเซียเสริมกิจลีสซิ่ง เดอะมอลล์ไลฟ์สโตร์ บางแค,ASK The Mall Lifestore Bangkae,6,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
950,ธนาคารไทยเครดิต เพื่อรายย่อย เดอะมอลล์ไลฟ์สโตร์ บางแค,The Thai Credit Retail Bank (TCR) The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
966,ธนาคารกสิกรไทย เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,Kasikorn Bank (KBank) The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
978,ยูเมะพลัส เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,Umay+ The Mall Lifestore Ngamwongwan,5,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
988,ธนาคารไทยพาณิชย์ เดอะมอลล์ไลฟ์สโตร์ บางแค,Siam Commercial Bank (SCB) The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
993,ธนาคารเกียรตินาคินภัทร เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,Kiatnakin Phatra Bank (KKP) The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1038,กรุงเทพประกันภัย เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,Bangkok Insurance The Mall Lifestore Ngamwongwan,5,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1055,ยูโอบี เอ็กซ์เพลส เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,UOB Xpress The Mall Lifestore Ngamwongwan,5,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1062,เมืองไทยประกันชีวิต เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,Muang Thai Life Assurance The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1114,ธนาคารออมสิน เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,Government Savings Bank (GSB) The Mall Lifestore Ngamwongwan,5,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1118,ธนาคารกรุงไทย เดอะมอลล์ โคราช,Krung Thai Bank (KTB) The Mall Korat,B,เดอะมอลล์ โคราช,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1267,ธนาคารกสิกรไทย เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,Kasikorn Bank (KBank) The Mall Lifestore Ngamwongwan,5,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1274,ยูเมะพลัส เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,Umay+ The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1290,ธนาคารกรุงศรีอยุธยา เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,Bank Of Ayudhya (BAY) The Mall Lifestore Ngamwongwan,5,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1294,บริษัทหลักทรัพย์หยวนต้า (ประเทศไทย) เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,Yuanta Securities The Mall Lifestore Ngamwongwan,G,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1325,ธนาคารไทยเครดิต เพื่อรายย่อย เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Thai Credit Retail Bank (TCR) The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1330,ธนาคารไทยเครดิต เพื่อรายย่อย เดอะมอลล์ โคราช,The Thai Credit Retail Bank (TCR) The Mall Korat,B,เดอะมอลล์ โคราช,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1332,ธนาคารไทยพาณิชย์ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,Siam Commercial Bank (SCB) The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1353,ธนาคารออมสิน เดอะมอลล์ โคราช,Government Savings Bank (GSB) The Mall Korat,B,เดอะมอลล์ โคราช,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1384,ธนาคารอาคารสงเคราะห์ เดอะมอลล์ไลฟ์สโตร์ บางแค,Government Housing Bank (GHB) The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1430,ยูโอบี เอ็กซ์เพลส เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,UOB Xpress The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1443,สินมั่นคงประกันภัย เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,Syn Mun Kong Insurance The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
