no,branch_name_th,branch_name_en,floor,mall_th,mall_en,sub_category_th,sub_category_en,status,,,,,,,,,,,,,,,,,
49,ซาวด์เช็ก เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,SOUND CHECK The Mall Lifestore Thapra,4,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
56,ซาวด์เช็ก เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,SOUND CHECK The Mall Lifestore Ngamwongwan,6,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
62,ซาวด์เช็ก เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,SOUND CHECK The Mall Lifestore Bangkapi,2,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
266,บางกะปิ ซีนีเพล็กซ์ (อีจีวี) เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,BANGKAPI CINEPLEX (EGV) The Mall Lifestore Bangkapi,3,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
272,โคราช ซีนีเพล็กซ์ (อีจีวี) เดอะมอลล์ โคราช,KORAT CINEPLEX ( EGV) The Mall Korat,3,เดอะมอลล์ โคราช,The Mall Korat,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
631,ฟิตเนส เฟิรส์ท เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,FITNESS FIRST The Mall Lifestore Ngamwongwan,15,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
770,ฮาร์เบอร์แลนด์ เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,HARBORLAND The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
953,ฮาร์เบอร์แลนด์ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,HARBORLAND The Mall Lifestore Bangkapi,3,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
997,ฟิตเนส เฟิรส์ท เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,FITNESS FIRST The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1511,ฟิตเนส เฟิรส์ท เดอะมอลล์ โคราช,FITNESS FIRST The Mall Korat,3,เดอะมอลล์ โคราช,The Mall Korat,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1640,ฮาร์เบอร์แลนด์ เดอะมอลล์ไลฟ์สโตร์ บางแค,HARBORLAND The Mall Lifestore Bangkae,3,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1666,เอส เอฟ ซีเนม่า เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,SF CINEMA The Mall Lifestore Thapra,4,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1738,เอส เอฟ ซีเนม่า เดอะมอลล์ไลฟ์สโตร์ บางแค,SF CINEMA The Mall Lifestore Bangkae,3,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1820,ซีอาร์ แยร์  เดอะมอลล์ไลฟ์สโตร์ บางแค,VR BEAR The Mall Lifestore Bangkae,3,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1921,วันเดอร์ แพลเน็ต เดอะมอลล์ โคราช,WONDER PLANET The Mall Korat,3,เดอะมอลล์ โคราช,The Mall Korat,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
2116,เอส เอฟ ซีเนม่า เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,SF CINEMA The Mall Lifestore Ngamwongwan,,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
2117,ฟิตเนส เฟิรส์ท เดอะมอลล์ไลฟ์สโตร์ บางแค,FITNESS FIRST The Mall Lifestore Bangkae,3,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
2167,ฟิตเนส เฟิรส์ท เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,FITNESS FIRST The Mall Lifestore Bangkapi,3,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
2219,ฮาร์เบอร์แลนด์ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,HARBORLAND The Mall Lifestore Ngamwongwan,6,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
57,ธนาคารยูโอบี เดอะมอลล์ไลฟ์สโตร์ บางแค,UOB The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
209,ยูเมะพลัส เดอะมอลล์ไลฟ์สโตร์ บางแค,Umay+ The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
210,บริษัทหลักทรัพย์ ดีบีเอส วิคเคอร์ (ประเทศไทย) จำกัด เดอะมอลล์ โคราช,DBS Vickers Securities The Mall Korat,9,เดอะมอลล์ โคราช,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
235,ยูเมะพลัส เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,Umay+ The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
519,กรุงเทพประกันภัย เดอะมอลล์ไลฟ์สโตร์ บางแค,Bangkok Insurance The Mall Lifestore Bangkae,2,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
525,ธนาคารไทยพาณิชย์ เดอะมอลล์ รามคำแหง,Siam Commercial Bank (SCB) The Mall Ramkamhang,15,เดอะมอลล์ รามคำแหง,The Mall Ramkamhang,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
526,ธนาคารกรุงเทพ จำกัด เดอะมอลล์ รามคำแหง,Bangkok Bank (BBL) The Mall Ramkamhang,G,เดอะมอลล์ รามคำแหง,The Mall Ramkamhang,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
528,ไทยประกันชีวิต เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,THAI LIFE INSURANCE The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
529,ไทยประกันชีวิต เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,THAI LIFE INSURANCE The Mall Lifestore Thapra,1,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
